cluster,center_lat,center_lon,trip_count,avg_speed,avg_duration,peak_hour,severity
0,40.754001820751746,-73.98148606129182,29250,7.403649914529915,14.4,18,HIGH
1,40.769526672363284,-73.8633599021218,55,8.326,52.5,18,LOW
4,40.77384880065918,-73.87216583251953,50,7.9162,50.0,16,LOW
3,40.80381698608399,-73.93811865912544,45,7.877555555555555,11.9,7,LOW
2,40.690130527202896,-73.98222145667442,26,8.241153846153846,14.1,19,LOW
7,40.75187683105469,-73.93934522356305,21,7.61047619047619,23.4,9,LOW
5,40.69313354492188,-73.98955879211425,20,8.177,17.6,9,LOW
8,40.690802335739136,-73.99416542053223,16,8.00125,13.6,17,LOW
6,40.68165690104167,-73.99850463867188,15,7.514,13.8,8,LOW
9,40.64500147501628,-73.78273315429688,15,6.554666666666666,62.7,17,LOW
