id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,hour,day_of_week,month,day_name,distance_km,speed_kmh,cluster
id1792798,2,2016-03-01 18:40:19,2016-03-01 18:50:12,1,-73.98349761962889,40.757030487060554,-73.99329376220702,40.767681121826165,N,593,18,1,3,Tuesday,1.443351174803843,8.76,0
id2886719,1,2016-04-04 09:05:51,2016-04-04 10:10:51,1,-73.86305236816406,40.76939392089844,-73.98703002929686,40.753211975097656,N,3900,9,0,4,Monday,10.595677175043603,9.78,1
id2175383,1,2016-01-02 18:58:17,2016-01-02 19:13:37,1,-73.9859848022461,40.74661636352539,-73.97599792480467,40.73028945922852,N,920,18,5,1,Saturday,2.0009761989842034,7.83,0
id2638398,2,2016-02-23 08:04:31,2016-02-23 08:36:29,2,-73.94823455810547,40.80805587768555,-73.94674682617188,40.78112030029297,N,1918,8,1,2,Tuesday,2.997716802348632,5.63,0
id0838097,2,2016-02-27 18:26:29,2016-02-27 18:34:09,1,-74.00262451171875,40.73944091796875,-73.99816131591797,40.73024368286133,N,460,18,5,2,Saturday,1.089634223921934,8.53,0
id3195327,2,2016-02-04 18:03:47,2016-02-04 18:16:49,2,-73.98396301269531,40.759952545166016,-73.9807357788086,40.744998931884766,N,782,18,3,2,Thursday,1.6848410885506249,7.76,0
id2057568,2,2016-04-08 19:04:47,2016-04-08 19:17:26,5,-73.99595642089844,40.720176696777344,-74.01428985595702,40.70859146118164,N,759,19,4,4,Friday,2.0117439160565125,9.54,0
id1335713,1,2016-06-22 18:27:25,2016-06-22 18:32:06,1,-73.9677734375,40.763042449951165,-73.96218872070312,40.76739883422852,N,281,18,2,6,Wednesday,0.6751779249626442,8.65,0
id2671022,1,2016-02-02 19:49:43,2016-02-02 20:19:24,1,-74.00768280029298,40.724658966064446,-73.9661865234375,40.69346618652344,N,1781,19,1,2,Tuesday,4.925867613126862,9.96,0
id1964373,1,2016-01-07 16:43:43,2016-01-07 17:00:31,1,-73.9817886352539,40.75856018066406,-73.99025726318358,40.73741912841797,N,1008,16,3,1,Thursday,2.4566421729885937,8.77,0
id1221650,1,2016-05-01 17:26:18,2016-05-01 17:31:19,1,-73.98586273193358,40.74079513549805,-73.98512268066406,40.747596740722656,N,301,17,6,5,Sunday,0.7588693452387288,9.08,0
